block,x,y,width,height,rotated,original_width,original_height
b88,244,257,44,29,1,29,44
b89,219,431,42,20,1,20,42
b90,104,341,46,24,0,46,24
b91,199,410,43,21,0,43,21
b92,284,0,45,47,0,45,47
b93,350,431,24,20,1,20,24
b94,128,451,31,19,0,31,19
b95,458,85,44,37,0,44,37
b96,161,193,46,33,0,46,33
b97,171,503,40,15,0,40,15
b98,235,531,35,13,1,13,35
b99,114,470,40,17,0,40,17
b100,374,0,44,45,0,44,45
b101,421,256,36,30,1,30,36
b102,244,123,40,36,0,40,36
b103,485,192,34,34,1,34,34
b104,37,518,42,14,0,42,14
b105,361,193,35,33,0,35,33
b106,473,544,33,12,1,12,33
b107,314,503,32,15,0,32,15
b108,165,87,38,37,1,37,38
b109,461,0,42,46,0,42,46
b110,90,47,42,39,1,39,42
b111,107,532,21,13,1,13,21
b112,241,340,30,25,0,30,25
b113,388,364,36,24,0,36,24
b114,46,159,44,34,1,34,44
b115,207,388,34,22,0,34,22
b116,159,451,28,19,0,28,19
b117,366,410,39,21,0,39,21
b118,374,85,44,38,0,44,38
b119,67,268,45,28,1,28,45
b120,125,124,36,36,1,36,36
b121,90,160,38,34,1,34,38
b122,176,431,43,20,0,43,20
b123,25,372,36,23,1,23,36
b124,319,226,35,31,1,31,35
b125,140,45,46,42,0,46,42
b126,134,545,22,12,0,22,12
b127,423,314,25,43,0,25,43
b128,112,286,44,28,0,44,28
b129,388,388,34,22,0,34,22
b130,272,314,30,26,0,30,26
b131,140,0,48,45,0,48,45
b132,89,452,39,18,1,18,39
b133,45,503,43,15,1,15,43
b134,435,158,47,34,1,34,47
b135,470,502,45,15,0,45,15
b136,0,533,37,12,0,37,12
b137,100,431,28,21,1,21,28
b138,243,286,42,28,0,42,28
b139,361,123,37,36,1,36,37
b140,366,544,43,12,1,12,43
b141,0,445,45,19,1,19,45
b142,0,303,27,37,0,27,37
b143,0,365,25,24,1,24,25
b144,131,503,40,15,1,15,40
b145,235,518,45,13,1,13,45
b146,0,193,48,33,0,48,33
b147,465,226,42,30,1,30,42
b148,476,469,20,18,1,18,20
b149,114,388,47,22,0,47,22
b150,61,372,23,31,0,23,31
b151,303,451,42,18,1,18,42
b152,496,486,19,16,1,16,19
b153,80,238,41,30,0,41,30
b154,496,469,22,17,0,22,17
b155,175,518,25,14,0,25,14
b156,308,487,28,16,0,28,16
b157,325,431,25,20,1,20,25
b158,61,532,23,13,0,23,13
b159,89,194,32,44,1,44,32
b160,363,487,27,16,0,27,16
b161,48,0,46,47,0,46,47
b162,336,469,31,18,0,31,18
b163,422,388,33,22,0,33,22
b164,45,123,41,36,1,36,41
b165,273,470,21,17,0,21,17
b166,449,192,36,34,1,34,36
b167,398,123,37,36,1,36,37
b168,48,348,41,24,1,24,41
b169,271,364,39,24,1,24,39
b170,199,257,45,29,1,29,45
b171,268,388,40,22,1,22,40
b172,396,531,27,13,0,27,13
b173,365,339,32,25,1,25,32
b174,81,487,43,16,0,43,16
b175,21,518,16,15,1,15,16
b176,286,193,38,33,1,33,38
b177,84,86,41,37,0,41,37
b178,19,482,17,19,0,17,19
b179,0,159,46,34,0,46,34
b180,480,450,40,19,1,19,40
b181,425,286,30,28,0,30,28
b182,448,340,45,24,0,45,24
b183,247,193,39,33,1,33,39
b184,331,314,46,25,0,46,25
b185,177,314,34,27,1,27,34
b186,388,226,33,31,1,31,33
b187,323,123,38,36,1,36,38
b188,125,87,40,37,1,37,40
b189,322,544,44,12,0,44,12
b190,27,314,37,27,0,37,27
b191,244,487,34,16,1,16,34
b192,151,257,48,29,1,29,48
b193,154,470,33,17,0,33,17
b194,368,531,28,13,0,28,13
b195,270,531,33,13,0,33,13
b196,418,44,41,41,1,41,41
b197,285,286,37,28,0,37,28
b198,395,431,48,19,0,48,19
b199,283,226,36,31,1,31,36
b200,0,86,43,37,0,43,37
b201,302,314,29,26,1,26,29
b202,334,159,39,34,1,34,39
b203,441,503,28,15,1,15,28
b204,48,193,41,33,0,41,33
b205,0,518,21,15,0,21,15
b206,161,124,42,35,0,42,35
b207,392,286,33,28,0,33,28
b208,298,431,27,20,0,27,20
b209,0,123,45,36,0,45,36
b210,447,518,13,24,0,13,24
b211,175,545,16,12,0,16,12
b212,242,410,42,21,1,21,42
b213,112,518,32,14,0,32,14
b214,220,470,27,17,1,17,27
b215,21,424,29,21,0,29,21
b216,438,450,42,19,0,42,19
b217,128,431,48,20,1,20,48
b218,88,503,43,15,0,43,15
b219,397,469,28,18,0,28,18
b220,121,240,30,37,0,30,37
b221,280,518,45,13,1,13,45
b222,331,339,34,25,0,34,25
b223,238,451,22,19,0,22,19
b224,25,403,45,21,0,45,21
b225,276,47,47,38,0,47,38
b226,166,487,39,16,0,39,16
b227,336,531,32,13,1,13,32
b228,374,431,21,20,0,21,20
b229,271,340,48,24,1,24,48
b230,34,257,33,30,1,30,33
b231,278,487,30,16,1,16,30
b232,203,365,42,23,0,42,23
b233,185,532,16,13,0,16,13
b234,303,469,33,18,0,33,18
b235,161,388,46,22,1,22,46
b236,28,287,39,27,1,27,39
b237,326,410,40,21,1,21,40
b238,67,296,39,27,1,27,39
b239,308,388,40,22,0,40,22
b240,215,451,23,19,0,23,19
b241,423,531,24,13,1,13,24
b242,348,388,40,22,1,22,40
b243,412,192,37,34,0,37,34
b244,410,518,37,13,0,37,13
b245,424,364,36,24,0,36,24
b246,159,365,44,23,1,23,44
b247,86,123,39,36,1,36,39
b248,202,226,43,31,0,43,31
b249,142,314,35,27,0,35,27
b250,354,226,34,31,1,31,34
b251,205,159,43,34,0,43,34
b252,187,451,28,19,1,19,28
b253,201,532,15,13,0,15,13
b254,37,532,24,13,0,24,13
b255,0,47,47,39,0,47,39
b256,128,532,21,13,0,21,13
b257,187,470,33,17,1,17,33
b258,161,159,44,34,0,44,34
b259,58,545,26,12,0,26,12
b260,156,545,19,12,0,19,12
b261,277,544,45,12,1,12,45
b262,455,286,48,27,1,27,48
b263,94,0,46,47,1,47,46
b264,114,365,45,23,0,45,23
b265,0,503,45,15,0,45,15
b266,188,0,48,45,1,45,48
b267,373,159,39,34,1,34,39
b268,0,389,25,22,1,22,25
b269,0,464,37,18,0,37,18
b270,496,517,23,15,0,23,15
b271,150,341,42,24,0,42,24
b272,460,364,35,24,1,24,35
b273,70,411,30,21,1,21,30
b274,480,410,33,21,0,33,21
b275,486,388,28,22,1,22,28
b276,144,518,31,14,0,31,14
b277,473,532,47,12,1,12,47
b278,368,518,42,13,1,13,42
b279,47,47,43,39,1,39,43
b280,455,388,31,22,0,31,22
b281,367,469,30,18,0,30,18
b282,421,226,44,30,0,44,30
b283,216,532,15,13,1,13,15
b284,0,411,21,30,1,30,21
b285,303,531,33,13,1,13,33
b286,203,123,41,36,1,36,41
b287,284,410,42,21,0,42,21
b288,322,286,36,28,1,28,36
b289,324,193,37,33,1,33,37
b290,390,487,27,16,1,16,27
b291,200,286,43,28,1,28,43
b292,310,364,39,24,1,24,39
b293,395,450,43,19,0,43,19
b294,247,470,26,17,1,17,26
b295,325,518,43,13,0,43,13
b296,417,487,27,16,1,16,27
b297,245,226,38,31,0,38,31
b298,207,193,40,33,1,33,40
b299,460,532,13,13,1,13,13
