block,x,y,width,height,rotated,original_width,original_height
b173,338,188,32,25,1,25,32
b174,251,417,16,43,1,43,16
b175,81,210,16,15,1,15,16
b176,133,71,38,33,1,33,38
b177,119,422,37,41,1,41,37
b178,105,142,17,19,0,17,19
b179,22,190,34,46,1,46,34
b180,513,536,40,19,1,19,40
b181,435,328,28,30,1,30,28
b182,61,91,45,24,0,45,24
b183,306,385,33,39,0,33,39
b184,75,66,46,25,0,46,25
b185,461,389,27,34,0,27,34
b186,0,364,31,33,0,31,33
b187,417,513,38,36,1,36,38
b188,282,15,37,40,0,37,40
b189,219,119,44,12,0,44,12
b190,450,217,27,37,1,37,27
b191,323,540,34,16,1,16,34
b192,527,22,29,48,0,29,48
b193,144,204,17,33,1,33,17
b194,464,531,13,28,1,28,13
b195,210,86,13,33,1,33,13
b196,128,281,41,41,1,41,41
b197,230,508,28,37,1,37,28
b198,175,481,48,19,0,48,19
b199,390,146,31,36,0,31,36
b200,55,131,43,37,0,43,37
b201,402,429,26,29,0,26,29
b202,369,103,34,39,0,34,39
b203,0,315,15,28,0,15,28
b204,242,355,41,33,0,41,33
b205,186,104,21,15,0,21,15
b206,56,225,35,42,1,42,35
b207,242,322,28,33,1,33,28
b208,236,390,20,27,1,27,20
b209,333,71,36,45,1,45,36
b210,391,235,13,24,0,13,24
b211,321,30,12,16,1,16,12
b212,107,510,42,21,1,21,42
b213,475,298,14,32,1,32,14
b214,542,488,17,27,0,17,27
b215,169,404,21,29,1,29,21
b216,463,330,42,19,0,42,19
b217,122,146,20,48,0,20,48
b218,275,502,15,43,1,43,15
b219,271,327,18,28,1,28,18
b220,421,291,30,37,0,30,37
b221,65,358,13,45,0,13,45
b222,264,288,25,34,1,34,25
b223,197,119,22,19,0,22,19
b224,190,388,21,45,1,45,21
b225,315,116,38,47,1,47,38
b226,521,300,16,39,1,39,16
b227,282,2,32,13,1,13,32
b228,289,299,21,20,0,21,20
b229,186,138,48,24,1,24,48
b230,466,165,30,33,0,30,33
b231,419,259,16,30,0,16,30
b232,172,238,23,42,1,42,23
b233,224,56,16,13,0,16,13
b234,473,3,33,18,0,33,18
b235,230,462,22,46,0,22,46
b236,157,327,39,27,1,27,39
b237,142,164,21,40,0,21,40
b238,509,431,39,27,1,27,39
b239,101,194,40,22,0,40,22
b240,521,281,23,19,0,23,19
b241,40,328,13,24,0,13,24
b242,520,70,22,40,0,22,40
b243,358,445,34,37,1,37,34
b244,518,268,37,13,0,37,13
b245,477,536,36,24,0,36,24
b246,437,105,23,44,0,23,44
b247,430,66,36,39,0,36,39
b248,220,419,31,43,1,43,31
b249,24,533,35,27,0,35,27
b250,106,111,34,31,1,31,34
b251,128,37,43,34,0,43,34
b252,193,1,28,19,1,19,28
b253,240,221,15,13,0,15,13
b254,2,149,13,24,1,24,13
b255,171,57,39,47,1,47,39
b256,61,403,13,21,1,21,13
b257,256,388,33,17,1,17,33
b258,196,344,34,44,1,44,34
b259,79,3,12,26,1,26,12
b260,245,310,19,12,0,19,12
b261,230,318,12,45,0,12,45
b262,376,304,27,48,0,27,48
b263,129,463,46,47,1,47,46
b264,234,131,45,23,0,45,23
b265,196,219,15,45,1,45,15
b266,421,149,45,48,0,45,48
b267,369,64,34,39,0,34,39
b268,369,234,22,25,0,22,25
b269,537,300,18,37,1,37,18
b270,61,533,15,23,1,23,15
b271,77,168,24,42,1,42,24
b272,0,498,24,35,0,24,35
b273,333,41,21,30,0,21,30
b274,101,161,21,33,1,33,21
b275,67,315,22,28,0,22,28
b276,147,147,31,14,0,31,14
b277,0,26,12,47,0,12,47
b278,53,308,13,42,0,13,42
b279,267,417,39,43,0,39,43
b280,0,205,22,31,1,31,22
b281,392,458,30,18,0,30,18
b282,234,265,30,44,1,44,30
b283,497,182,15,13,1,13,15
b284,496,195,21,30,1,30,21
b285,210,49,13,33,0,13,33
b286,116,327,41,36,1,36,41
b287,312,74,21,42,1,42,21
b288,428,453,36,28,1,28,36
b289,56,29,33,37,0,33,37
b290,40,115,27,16,1,16,27
b291,144,237,28,43,0,28,43
b292,428,429,39,24,1,24,39
b293,319,11,43,19,0,43,19
b294,258,529,17,26,0,17,26
b295,156,400,13,43,1,43,13
b296,18,471,27,16,1,16,27
b297,327,501,31,38,1,38,31
b298,358,482,33,40,0,33,40
b299,60,169,13,13,1,13,13
