block,x,y,width,height,rotated,original_width,original_height
b110,295,426,44,23,0,44,23
b111,283,27,18,13,0,18,13
b112,216,15,18,46,0,18,46
b113,234,267,28,43,1,43,28
b114,313,151,19,39,1,39,19
b115,308,121,37,30,0,37,30
b116,347,312,42,37,1,37,42
b117,172,425,37,24,1,24,37
b118,309,246,39,35,0,39,35
b119,377,113,24,36,0,24,36
b120,214,400,45,15,1,15,45
b121,214,415,45,32,1,32,45
b122,373,383,30,43,1,43,30
b123,197,179,35,13,1,13,35
b124,214,331,39,13,1,13,39
b125,74,4,18,28,0,18,28
b126,111,274,38,28,0,38,28
b127,0,303,22,24,1,24,22
b128,51,339,25,36,1,36,25
b129,160,92,46,44,1,44,46
b130,313,27,45,44,1,44,45
b131,0,16,20,36,1,36,20
b132,332,163,38,16,0,38,16
b133,357,113,14,12,0,14,12
b134,385,151,16,29,1,29,16
b135,264,376,37,15,1,15,37
b136,326,96,19,24,1,24,19
b137,134,383,22,18,0,22,18
b138,157,294,30,22,0,30,22
b139,77,197,33,31,0,33,31
b140,99,274,12,16,0,12,16
b141,358,54,34,25,1,25,34
b142,149,267,46,27,1,27,46
b143,230,68,46,44,0,46,44
b144,33,113,29,25,1,25,29
b145,414,0,34,45,1,45,34
b146,23,258,34,33,1,33,34
b147,20,352,31,12,1,12,31
b148,283,121,25,17,1,17,25
b149,77,417,22,22,1,22,22
b150,184,412,30,13,1,13,30
b151,387,0,27,16,1,16,27
b152,78,32,33,33,1,33,33
b153,371,426,40,12,0,40,12
b154,403,371,42,44,0,42,44
b155,49,81,13,12,1,12,13
b156,235,112,42,19,1,19,42
b157,276,15,42,12,0,42,12
b158,347,135,17,28,1,28,17
b159,40,315,36,24,1,24,36
b160,345,99,12,36,0,12,36
b161,0,134,19,31,0,19,31
b162,318,227,30,12,0,30,12
b163,402,144,47,46,1,46,47
b164,294,94,32,27,0,32,27
b165,63,127,41,33,0,41,33
b166,259,426,36,12,0,36,12
b167,221,118,14,47,1,47,14
b168,276,69,37,25,0,37,25
b169,184,64,46,28,0,46,28
b170,111,338,45,22,1,22,45
b171,358,79,35,34,0,35,34
b172,0,52,25,31,1,31,25
b173,211,192,22,42,1,42,22
b174,394,16,20,25,1,25,20
b175,339,383,34,12,0,34,12
b176,104,432,20,16,0,20,16
b177,118,154,31,21,1,21,31
b178,386,269,16,20,1,20,16
b179,27,375,45,41,0,45,41
b180,148,19,21,19,1,19,21
b181,300,358,42,15,1,15,42
b182,119,326,33,12,0,33,12
b183,156,349,16,37,1,37,16
b184,43,93,19,20,1,20,19
b185,404,86,44,13,1,13,44
b186,20,4,13,48,0,13,48
b187,362,0,24,22,1,22,24
b188,278,296,40,24,1,24,40
b189,0,238,31,20,0,31,20
b190,76,160,34,37,1,37,34
b191,315,190,42,37,0,42,37
b192,33,20,22,28,0,22,28
b193,33,160,43,42,1,42,43
b194,404,243,43,42,1,42,43
b195,283,138,25,36,0,25,36
b196,195,272,39,16,0,39,16
b197,76,330,35,47,1,47,35
b198,231,245,40,22,1,22,40
b199,181,344,40,34,1,34,40
