block,x,y,width,height,rotated,original_width,original_height
b117,0,2306,37,24,1,24,37
b118,0,2042,39,35,0,39,35
b119,36,2330,24,36,0,24,36
b120,45,680,15,45,0,15,45
b121,0,868,45,32,1,32,45
b122,0,1315,43,30,0,43,30
b123,46,481,13,35,0,13,35
b124,47,333,13,39,0,13,39
b125,42,1547,18,28,0,18,28
b126,0,2137,38,28,0,38,28
b127,0,2933,24,22,0,24,22
b128,0,2416,36,25,0,36,25
b129,0,447,46,44,1,44,46
b130,0,680,45,44,1,44,45
b131,39,2082,20,36,1,36,20
b132,44,1088,16,38,1,38,16
b133,43,1460,14,12,0,14,12
b134,36,2437,16,29,1,29,16
b135,45,767,15,37,0,15,37
b136,24,2955,24,19,0,24,19
b137,42,1597,18,22,1,22,18
b138,35,2531,22,30,1,30,22
b139,0,2725,33,31,0,33,31
b140,48,226,12,16,0,12,16
b141,35,2466,25,34,0,25,34
b142,0,635,46,27,1,27,46
b143,0,491,46,44,0,46,44
b144,31,2846,29,25,1,25,29
b145,0,802,45,34,0,45,34
b146,0,2627,34,33,1,33,34
b147,46,616,12,31,0,12,31
b148,43,1345,17,25,0,17,25
b149,24,2974,22,22,1,22,22
b150,46,647,13,30,0,13,30
b151,33,2756,27,16,1,16,27
b152,0,2660,33,33,1,33,33
b153,48,42,12,40,1,40,12
b154,0,1006,44,42,1,42,44
b155,42,1700,13,12,1,12,13
b156,0,1757,42,19,1,19,42
b157,48,0,12,42,1,42,12
b158,43,1236,17,28,1,28,17
b159,36,2366,24,36,0,24,36
b160,48,119,12,36,0,12,36
b161,37,2284,19,31,0,19,31
b162,45,968,12,30,1,30,12
b163,0,243,47,46,1,46,47
b164,33,2660,27,32,1,32,27
b165,0,1811,41,33,0,41,33
b166,48,155,12,36,1,36,12
b167,0,342,47,14,0,47,14
b168,0,2281,37,25,0,37,25
b169,0,607,46,28,0,46,28
b170,0,949,45,22,1,22,45
b171,0,2466,35,34,0,35,34
b172,35,2500,25,31,1,31,25
b173,0,1735,42,22,0,42,22
b174,25,2911,25,20,0,25,20
b175,46,516,12,34,1,34,12
b176,43,1440,16,20,1,20,16
b177,37,2222,21,31,0,21,31
b178,42,1619,16,20,1,20,16
b179,0,724,45,41,0,45,41
b180,0,2977,21,19,1,19,21
b181,45,725,15,42,0,15,42
b182,46,583,12,33,1,33,12
b183,44,1163,16,37,1,37,16
b184,0,2996,20,19,0,20,19
b185,47,289,13,44,0,13,44
b186,0,230,48,13,1,13,48
b187,0,2955,24,22,1,22,24
b188,0,1996,40,24,1,24,40
b189,37,2253,20,31,1,31,20
b190,0,2190,37,34,0,37,34
b191,0,1510,42,37,0,42,37
b192,29,2889,28,22,1,22,28
b193,0,1194,43,42,1,42,43
b194,0,1236,43,42,1,42,43
b195,0,2441,36,25,1,25,36
b196,44,1049,16,39,1,39,16
b197,0,289,47,35,0,47,35
b198,0,2020,40,22,1,22,40
b199,0,1906,40,34,1,34,40
