chip,method,feasible,initial_hpwl,refined_hpwl,accepted_moves,refine_passes,refine_method,runtime_sec
n100,maxrects:area_degree+fit,True,298574.0000,298574.0000,0,0,none,4.5249
n100,maxrects:target_xy+wire,False,,,0,,,3.6906
n100,maxrects:target_xy+target,False,,,0,,,4.7703
n100,maxrects:target_xy+fit,False,,,0,,,4.4550
n100,maxrects:target_yx+wire,False,,,0,,,6.2632
n100,maxrects:target_yx+target,False,,,0,,,5.3427
n100,maxrects:target_yx+fit,False,,,0,,,4.7185
n200,shelf_bfd:narrow,True,449871.0000,449871.0000,0,0,none,0.0095
n200,shelf_bfd:wide,True,452301.5000,452301.5000,0,0,none,0.0095
n200,shelf_bfd:native,True,456237.5000,456237.5000,0,0,none,0.0089
n200,shelf:degree_area+narrow,False,,,0,,,0.0009
n200,shelf:degree_area+wide,False,,,0,,,0.0009
n200,shelf:degree_area+native,False,,,0,,,0.0006
n200,shelf:area_degree+narrow,False,,,0,,,0.0009
n200,shelf:area_degree+wide,False,,,0,,,0.0009
n200,shelf:area_degree+native,False,,,0,,,0.0005
n200,shelf:max_side+narrow,True,448681.0000,448681.0000,0,0,none,0.0072
n200,shelf:max_side+wide,False,,,0,,,0.0009
n200,shelf:max_side+native,False,,,0,,,0.0006
n200,shelf:target_xy+narrow,False,,,0,,,0.0009
n200,shelf:target_xy+wide,False,,,0,,,0.0009
n200,shelf:target_xy+native,False,,,0,,,0.0005
n200,shelf:target_yx+narrow,False,,,0,,,0.0009
n200,shelf:target_yx+wide,False,,,0,,,0.0009
n200,shelf:target_yx+native,False,,,0,,,0.0005
n200,shelf:serpentine_x+narrow,False,,,0,,,0.0009
n200,shelf:serpentine_x+wide,False,,,0,,,0.0009
n200,shelf:serpentine_x+native,False,,,0,,,0.0006
n200,shelf:serpentine_y+narrow,False,,,0,,,0.0009
n200,shelf:serpentine_y+wide,False,,,0,,,0.0009
n200,shelf:serpentine_y+native,False,,,0,,,0.0006
n200,shelf:centre_first+narrow,False,,,0,,,0.0009
n200,shelf:centre_first+wide,False,,,0,,,0.0009
n200,shelf:centre_first+native,False,,,0,,,0.0006
n200,shelf:perimeter_first+narrow,False,,,0,,,0.0009
n200,shelf:perimeter_first+wide,False,,,0,,,0.0009
n200,shelf:perimeter_first+native,False,,,0,,,0.0006
n200,shelf:degree_area_rev+narrow,False,,,0,,,0.0009
n200,shelf:degree_area_rev+wide,False,,,0,,,0.0009
n200,shelf:degree_area_rev+native,False,,,0,,,0.0005
n200,shelf:target_xy_rev+narrow,False,,,0,,,0.0009
n200,shelf:target_xy_rev+wide,False,,,0,,,0.0009
n200,shelf:target_xy_rev+native,False,,,0,,,0.0006
n200,maxrects:degree_area+wire,True,413258.0000,412640.5000,27,2,fast_hpwl_breakpoint,50.9024
n200,maxrects:degree_area+target,True,448331.0000,448331.0000,0,0,none,18.4857
n200,maxrects:degree_area+fit,True,566701.5000,566701.5000,0,0,none,15.0827
n200,maxrects:area_degree+wire,True,420230.5000,417335.0000,47,2,fast_hpwl_breakpoint,49.9924
n200,maxrects:area_degree+target,True,450436.5000,450436.5000,0,0,none,18.2027
n200,maxrects:area_degree+fit,True,567604.5000,567604.5000,0,0,none,14.8963
n200,maxrects:target_xy+wire,False,,,0,,,16.0348
n200,maxrects:target_xy+target,True,491268.0000,491268.0000,0,0,none,18.8782
n200,maxrects:target_xy+fit,True,471077.0000,471077.0000,0,0,none,18.9893
n200,maxrects:target_yx+wire,True,411599.0000,410072.5000,20,2,fast_hpwl_breakpoint,68.0554
n200,maxrects:target_yx+target,True,490631.0000,490631.0000,0,0,none,19.7373
n200,maxrects:target_yx+fit,True,500873.0000,500873.0000,0,0,none,19.1570
n300,shelf_bfd:narrow,True,644690.0000,644690.0000,0,0,none,0.0131
n300,shelf_bfd:wide,True,644387.5000,644387.5000,0,0,none,0.0131
n300,shelf_bfd:native,True,644118.5000,644118.5000,0,0,none,0.0124
n300,shelf:degree_area+narrow,False,,,0,,,0.0014
n300,shelf:degree_area+wide,False,,,0,,,0.0014
n300,shelf:degree_area+native,False,,,0,,,0.0008
n300,shelf:area_degree+narrow,False,,,0,,,0.0013
n300,shelf:area_degree+wide,False,,,0,,,0.0014
n300,shelf:area_degree+native,False,,,0,,,0.0008
n300,shelf:max_side+narrow,True,647403.5000,647403.5000,0,0,none,0.0093
n300,shelf:max_side+wide,False,,,0,,,0.0014
n300,shelf:max_side+native,False,,,0,,,0.0008
n300,shelf:target_xy+narrow,False,,,0,,,0.0013
n300,shelf:target_xy+wide,False,,,0,,,0.0013
n300,shelf:target_xy+native,False,,,0,,,0.0008
n300,shelf:target_yx+narrow,False,,,0,,,0.0013
n300,shelf:target_yx+wide,False,,,0,,,0.0013
n300,shelf:target_yx+native,False,,,0,,,0.0008
n300,shelf:serpentine_x+narrow,False,,,0,,,0.0013
n300,shelf:serpentine_x+wide,False,,,0,,,0.0014
n300,shelf:serpentine_x+native,False,,,0,,,0.0008
n300,shelf:serpentine_y+narrow,False,,,0,,,0.0013
n300,shelf:serpentine_y+wide,False,,,0,,,0.0014
n300,shelf:serpentine_y+native,False,,,0,,,0.0008
n300,shelf:centre_first+narrow,False,,,0,,,0.0013
n300,shelf:centre_first+wide,False,,,0,,,0.0013
n300,shelf:centre_first+native,False,,,0,,,0.0008
n300,shelf:perimeter_first+narrow,False,,,0,,,0.0013
n300,shelf:perimeter_first+wide,False,,,0,,,0.0013
n300,shelf:perimeter_first+native,False,,,0,,,0.0008
n300,shelf:degree_area_rev+narrow,False,,,0,,,0.0013
n300,shelf:degree_area_rev+wide,False,,,0,,,0.0013
n300,shelf:degree_area_rev+native,False,,,0,,,0.0008
n300,shelf:target_xy_rev+narrow,False,,,0,,,0.0013
n300,shelf:target_xy_rev+wide,False,,,0,,,0.0013
n300,shelf:target_xy_rev+native,False,,,0,,,0.0008
n300,maxrects:degree_area+wire,True,600456.5000,593534.5000,47,2,fast_hpwl_breakpoint,90.1944
n300,maxrects:degree_area+target,True,645027.0000,645027.0000,0,0,none,31.1240
n300,maxrects:degree_area+fit,True,844852.5000,844852.5000,0,0,none,27.3459
n300,maxrects:area_degree+wire,True,603364.0000,603364.0000,0,0,none,42.6720
n300,maxrects:area_degree+target,True,652703.0000,652703.0000,0,0,none,31.5902
n300,maxrects:area_degree+fit,True,841213.5000,841213.5000,0,0,none,22.3582
n300,maxrects:target_xy+wire,True,563981.0000,560492.5000,34,2,fast_hpwl_breakpoint,145.9370
n300,maxrects:target_xy+target,True,735141.5000,735141.5000,0,0,none,33.8565
n300,maxrects:target_xy+fit,True,679869.0000,679869.0000,0,0,none,30.2645
n300,maxrects:target_yx+wire,True,582961.5000,576107.0000,59,2,fast_hpwl_breakpoint,121.4712
n300,maxrects:target_yx+target,True,703972.0000,703972.0000,0,0,none,33.6525
n300,maxrects:target_yx+fit,True,714402.5000,714402.5000,0,0,none,28.1363
