block,x,y,width,height,rotated,original_width,original_height
b67,343,387,37,44,1,44,37
b68,377,102,24,35,1,35,24
b69,316,168,19,38,0,19,38
b70,81,292,14,36,1,36,14
b71,191,249,34,42,1,42,34
b72,344,103,33,34,1,34,33
b73,13,167,18,38,0,18,38
b74,163,138,18,29,1,29,18
b75,102,139,23,27,0,23,27
b76,232,329,12,14,1,14,12
b77,96,329,16,24,1,24,16
b78,262,249,26,43,0,26,43
b79,201,291,19,37,0,19,37
b80,308,329,14,15,0,14,15
b81,95,353,20,32,1,32,20
b82,234,104,32,33,0,32,33
b83,351,292,19,37,0,19,37
b84,395,249,37,43,1,43,37
b85,100,54,37,48,1,48,37
b86,322,329,24,24,1,24,24
b87,380,386,19,45,1,45,19
b88,115,249,28,43,0,28,43
b89,22,102,12,35,0,12,35
b90,23,386,24,45,1,45,24
b91,216,387,28,44,1,44,28
b92,92,207,24,42,1,42,24
b93,58,249,21,43,1,43,21
b94,65,333,15,16,0,15,16
b95,407,292,25,36,1,36,25
b96,263,386,25,45,0,25,45
b97,125,138,25,28,0,25,28
b98,0,139,16,26,0,16,26
b99,3,292,20,37,1,37,20
b100,288,137,25,27,1,27,25
b101,60,54,40,48,0,40,48
b102,173,168,25,38,0,25,38
b103,278,354,32,32,1,32,32
b104,236,291,25,36,1,36,25
b105,234,207,31,42,1,42,31
b106,257,167,34,39,0,34,39
b107,89,386,16,45,1,45,16
b108,146,352,12,33,1,33,12
b109,405,328,12,22,0,12,22
b110,0,386,23,44,1,44,23
b111,295,329,13,18,1,18,13
b112,191,9,18,46,0,18,46
b113,325,249,28,43,1,43,28
b114,335,167,19,39,1,39,19
b115,227,168,30,37,1,37,30
b116,288,249,37,42,0,37,42
b117,23,292,24,37,0,24,37
b118,397,166,35,39,1,39,35
b119,313,292,24,36,0,24,36
b120,159,385,15,45,0,15,45
b121,399,387,32,45,0,32,45
b122,28,249,30,43,1,43,30
b123,209,102,13,35,0,13,35
b124,214,167,13,39,0,13,39
b125,16,139,18,28,0,18,28
b126,50,167,28,38,1,38,28
b127,21,329,22,24,1,24,22
b128,119,292,25,36,1,36,25
b129,209,8,44,46,0,44,46
b130,253,9,44,45,0,44,45
b131,47,292,20,36,1,36,20
b132,381,166,16,38,1,38,16
b133,220,329,12,14,1,14,12
b134,243,137,16,29,1,29,16
b135,186,292,15,37,0,15,37
b136,368,329,19,24,1,24,19
b137,188,329,18,22,1,22,18
b138,221,137,22,30,1,30,22
b139,67,102,31,33,1,33,31
b140,159,329,12,16,0,12,16
b141,319,103,25,34,0,25,34
b142,164,9,27,46,0,27,46
b143,0,8,44,46,1,46,44
b144,56,138,25,29,0,25,29
b145,334,9,34,45,1,45,34
b146,176,103,33,34,0,33,34
b147,35,354,12,31,0,12,31
b148,326,139,17,25,0,17,25
b149,43,330,22,22,1,22,22
b150,150,137,13,30,0,13,30
b151,377,137,16,27,0,16,27
b152,98,104,33,33,1,33,33
b153,1,167,12,40,1,40,12
b154,47,386,42,44,0,42,44
b155,128,329,12,13,0,12,13
b156,141,207,19,42,0,19,42
b157,160,207,12,42,1,42,12
b158,393,137,17,28,1,28,17
b159,95,292,24,36,0,24,36
b160,370,292,12,36,0,12,36
b161,115,353,19,31,0,19,31
b162,276,137,12,30,1,30,12
b163,366,55,46,47,0,46,47
b164,377,354,27,32,1,32,27
b165,59,208,33,41,1,41,33
b166,162,292,12,36,1,36,12
b167,265,54,14,47,1,47,14
b168,291,169,25,37,1,37,25
b169,237,56,28,46,1,46,28
b170,137,386,22,45,0,22,45
b171,285,102,34,35,1,35,34
b172,47,354,25,31,1,31,25
b173,375,207,22,42,1,42,22
b174,410,139,20,25,1,25,20
b175,222,103,12,34,1,34,12
b176,80,329,16,20,1,20,16
b177,158,353,21,31,0,21,31
b178,279,329,16,20,1,20,16
b179,44,9,41,45,1,45,41
b180,244,328,19,21,0,19,21
b181,176,249,15,42,0,15,42
b182,134,351,12,33,1,33,12
b183,220,292,16,37,1,37,16
b184,140,329,19,20,1,20,19
b185,419,10,13,44,0,13,44
b186,0,54,13,48,0,13,48
b187,346,329,22,24,0,22,24
b188,265,206,24,40,0,24,40
b189,0,354,20,31,1,31,20
b190,94,167,34,37,1,37,34
b191,225,249,37,42,1,42,37
b192,34,137,22,28,0,22,28
b193,174,387,42,43,0,42,43
b194,353,249,42,43,0,42,43
b195,382,292,25,36,0,25,36
b196,198,165,16,39,1,39,16
b197,183,55,35,47,1,47,35
b198,319,207,22,40,0,22,40
b199,172,206,34,40,0,34,40
