block,x,y,width,height,rotated,original_width,original_height
b148,347,349,18,20,0,18,20
b149,515,369,22,47,1,47,22
b150,499,418,23,31,0,23,31
b151,56,350,42,18,1,18,42
b152,255,350,16,19,0,16,19
b153,0,452,30,41,1,41,30
b154,100,287,17,22,1,22,17
b155,86,287,14,25,1,25,14
b156,509,351,28,16,0,28,16
b157,288,287,20,25,0,20,25
b158,136,288,13,23,1,23,13
b159,424,242,32,44,1,44,32
b160,367,287,16,27,1,27,16
b161,301,40,46,47,0,46,47
b162,123,418,18,31,1,31,18
b163,387,418,22,33,1,33,22
b164,460,454,41,36,1,36,41
b165,221,350,17,21,1,21,17
b166,17,205,34,36,0,34,36
b167,501,205,36,37,0,36,37
b168,480,133,24,41,0,24,41
b169,34,0,24,39,0,24,39
b170,73,87,29,45,0,29,45
b171,72,133,22,40,0,22,40
b172,149,287,13,27,1,27,13
b173,308,418,25,32,0,25,32
b174,209,242,16,43,1,43,16
b175,192,350,15,16,0,15,16
b176,112,0,33,38,0,33,38
b177,168,451,37,41,1,41,37
b178,238,350,17,19,0,17,19
b179,11,371,34,46,1,46,34
b180,504,452,19,40,0,19,40
b181,349,174,28,30,1,30,28
b182,218,88,24,45,1,45,24
b183,145,0,33,39,0,33,39
b184,242,87,25,46,1,46,25
b185,415,314,27,34,0,27,34
b186,1,418,31,33,0,31,33
b187,470,1,36,38,0,36,38
b188,176,133,37,40,0,37,40
b189,295,242,12,44,1,44,12
b190,244,205,27,37,1,37,27
b191,194,417,16,34,0,16,34
b192,484,39,29,48,0,29,48
b193,177,418,17,33,1,33,17
b194,507,174,13,28,1,28,13
b195,362,418,13,33,1,33,13
b196,127,452,41,41,1,41,41
b197,143,205,28,37,1,37,28
b198,100,39,19,48,1,48,19
b199,183,205,31,36,0,31,36
b200,193,494,37,43,1,43,37
b201,396,174,26,29,0,26,29
b202,213,133,34,39,0,34,39
b203,46,451,15,28,0,15,28
b204,273,452,33,41,1,41,33
b205,320,350,15,21,1,21,15
b206,62,494,35,42,1,42,35
b207,210,418,28,33,1,33,28
b208,158,177,20,27,1,27,20
b209,323,87,36,45,1,45,36
b210,449,287,13,24,0,13,24
b211,404,350,12,16,1,16,12
b212,229,452,21,42,0,21,42
b213,422,418,14,32,1,32,14
b214,468,174,17,27,0,17,27
b215,112,174,21,29,1,29,21
b216,0,349,42,19,0,42,19
b217,119,39,20,48,0,20,48
b218,300,494,15,43,1,43,15
b219,192,174,18,28,1,28,18
b220,214,204,30,37,0,30,37
b221,25,242,13,45,0,13,45
b222,179,314,25,34,1,34,25
b223,117,287,19,22,1,22,19
b224,52,87,21,45,1,45,21
b225,387,371,38,47,1,47,38
b226,427,0,16,39,1,39,16
b227,409,418,13,32,0,13,32
b228,191,287,20,21,1,21,20
b229,139,39,24,48,0,24,48
b230,436,418,30,33,0,30,33
b231,333,174,16,30,0,16,30
b232,250,451,23,42,1,42,23
b233,391,350,13,16,1,16,13
b234,481,418,18,33,1,33,18
b235,102,87,22,46,0,22,46
b236,58,0,27,39,0,27,39
b237,131,134,21,40,0,21,40
b238,443,0,27,39,0,27,39
b239,109,133,22,40,1,40,22
b240,462,287,19,23,1,23,19
b241,1,287,13,24,0,13,24
b242,405,133,22,40,0,22,40
b243,271,204,34,37,1,37,34
b244,412,205,13,37,1,37,13
b245,513,314,24,36,1,36,24
b246,367,242,23,44,0,23,44
b247,299,134,36,39,0,36,39
b248,230,494,31,43,1,43,31
b249,0,314,27,35,1,35,27
b250,234,314,31,34,0,31,34
b251,344,494,34,43,1,43,34
b252,377,174,19,28,0,19,28
b253,112,350,13,15,1,15,13
b254,61,287,13,24,1,24,13
b255,284,371,39,47,1,47,39
b256,141,350,13,21,1,21,13
b257,238,418,17,33,0,17,33
b258,66,242,34,44,1,44,34
b259,355,287,12,26,1,26,12
b260,335,350,12,19,1,19,12
b261,137,242,12,45,0,12,45
b262,229,39,27,48,0,27,48
b263,9,40,46,47,1,47,46
b264,164,87,23,45,1,45,23
b265,149,242,15,45,1,45,15
b266,347,39,45,48,0,45,48
b267,265,133,34,39,0,34,39
b268,266,287,22,25,0,22,25
b269,425,205,18,37,1,37,18
b270,46,287,15,23,1,23,15
b271,205,452,24,42,1,42,24
b272,27,314,24,35,0,24,35
b273,312,174,21,30,0,21,30
b274,141,418,21,33,1,33,21
b275,47,174,22,28,0,22,28
b276,178,174,14,31,1,31,14
b277,425,371,12,47,0,12,47
b278,30,452,13,42,0,13,42
b279,261,494,39,43,0,39,43
b280,58,418,22,31,1,31,22
b281,489,174,18,30,1,30,18
b282,179,242,30,44,1,44,30
b283,365,350,13,15,0,13,15
b284,423,174,21,30,1,30,21
b285,110,418,13,33,0,13,33
b286,91,451,36,41,0,36,41
b287,371,452,21,42,1,42,21
b288,443,205,28,36,0,28,36
b289,305,205,33,37,0,33,37
b290,308,286,16,27,0,16,27
b291,165,494,28,43,0,28,43
b292,403,0,24,39,0,24,39
b293,451,494,19,43,1,43,19
b294,174,287,17,26,0,17,26
b295,152,493,13,43,1,43,13
b296,30,287,16,27,0,16,27
b297,506,0,31,38,1,38,31
b298,504,133,33,40,0,33,40
b299,154,350,13,13,1,13,13
